FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,Counter,Validation
145739.015625,145935.984375,146111.484375,146244.15625,146076.609375,146120.78125,146325.796875,146137.40625,4780.0,0.0
152622.28125,152822.90625,152993.9375,153131.984375,152961.578125,153008.609375,153213.890625,153023.09375,4781.0,1.0
152622.28125,152822.90625,152993.9375,153131.984375,152961.578125,153008.609375,153213.890625,153023.09375,4782.0,0.0
149269.25,149468.359375,149641.453125,149776.984375,149608.015625,149653.875,149858.890625,149669.4375,4783.0,1.0
149269.25,149468.359375,149641.453125,149776.984375,149608.015625,149653.875,149858.890625,149669.4375,4784.0,0.0
147889.609375,148088.0,148261.90625,148396.640625,148228.109375,148273.25,148478.078125,148289.171875,4785.0,1.0
147889.609375,148088.0,148261.90625,148396.640625,148228.109375,148273.25,148478.078125,148289.171875,4786.0,0.0
153487.921875,153689.171875,153858.78125,153998.515625,153827.484375,153874.875,154080.234375,153888.90625,4787.0,1.0
153487.921875,153689.171875,153858.78125,153998.515625,153827.484375,153874.875,154080.234375,153888.90625,4788.0,0.0
145819.921875,146017.515625,146193.015625,146325.515625,146158.0625,146202.5,146407.15625,146218.6875,4789.0,1.0
145819.921875,146017.515625,146193.015625,146325.515625,146158.0625,146202.5,146407.15625,146218.6875,4790.0,0.0
152593.84375,152795.015625,152965.6875,153104.09375,152933.59375,152980.359375,153185.984375,152994.75,4791.0,1.0
152593.84375,152795.015625,152965.6875,153104.09375,152933.59375,152980.359375,153185.984375,152994.75,4792.0,0.0
149452.625,149652.0,149824.734375,149960.71875,149791.46875,149837.34375,150042.703125,149852.546875,4793.0,1.0
149452.625,149652.0,149824.734375,149960.71875,149791.46875,149837.34375,150042.703125,149852.546875,4794.0,0.0
147857.78125,148056.359375,148230.25,148364.984375,148196.546875,148241.515625,148446.53125,148257.421875,4795.0,1.0
147857.78125,148056.359375,148230.25,148364.984375,148196.546875,148241.515625,148446.53125,148257.421875,4796.0,0.0
153622.03125,153823.28125,153992.625,154132.71875,153961.78125,154008.890625,154214.265625,154023.28125,4797.0,1.0
153622.03125,153823.28125,153992.625,154132.71875,153961.78125,154008.890625,154214.265625,154023.28125,4798.0,0.0
145959.84375,146156.8125,146332.046875,146464.640625,146297.71875,146341.96875,146546.625,146358.609375,4799.0,1.0
147890.59375,148088.890625,148262.609375,148397.078125,148229.265625,148274.140625,148479.15625,148289.890625,4800.0,1.0
147890.59375,148088.890625,148262.609375,148397.078125,148229.265625,148274.140625,148479.15625,148289.890625,4801.0,0.0
153738.796875,153939.515625,154109.5625,154249.03125,154078.265625,154125.484375,154330.9375,154139.78125,4802.0,1.0
153738.796875,153939.515625,154109.5625,154249.03125,154078.265625,154125.484375,154330.9375,154139.78125,4803.0,0.0
146062.40625,146259.8125,146435.046875,146568.078125,146400.71875,146444.875,146649.71875,146461.328125,4804.0,1.0
146062.40625,146259.8125,146435.046875,146568.078125,146400.71875,146444.875,146649.71875,146461.328125,4805.0,0.0
152679.3125,152880.3125,153050.8125,153189.5625,153019.515625,153065.921875,153271.375,153080.484375,4806.0,1.0
152679.3125,152880.3125,153050.8125,153189.5625,153019.515625,153065.921875,153271.375,153080.484375,4807.0,0.0
149850.03125,150049.40625,150221.96875,150358.40625,150189.328125,150235.015625,150440.484375,150250.125,4808.0,1.0
149850.03125,150049.40625,150221.96875,150358.40625,150189.328125,150235.015625,150440.484375,150250.125,4809.0,0.0
147952.375,148151.21875,148324.578125,148459.484375,148291.40625,148336.375,148541.390625,148352.015625,4810.0,1.0
147952.375,148151.21875,148324.578125,148459.484375,148291.40625,148336.375,148541.390625,148352.015625,4811.0,0.0
153945.765625,154147.65625,154316.71875,154456.546875,154285.609375,154333.34375,154538.8125,154346.84375,4812.0,1.0
153945.765625,154147.65625,154316.71875,154456.546875,154285.609375,154333.34375,154538.8125,154346.84375,4813.0,0.0
146254.171875,146452.03125,146626.734375,146760.046875,146592.5,146637.203125,146841.765625,146653.296875,4814.0,1.0
146254.171875,146452.03125,146626.734375,146760.046875,146592.5,146637.203125,146841.765625,146653.296875,4815.0,0.0
